merchant_id,shop_name,shop_type,address,taste_score,env_score,sever_score,avg_score,price,wgs84_lon,wgs84_lat,contact_phone,business_hours,status
60001235,佰人王串串香火锅,火锅,玄武门街道中央路300号（宫庭壹号精品酒店隔壁）,4.6,4.6,4.4,4.5,74,118.7791046,32.08903433,025-52483622,11:00-21:00,1
60001236,钱姐砂锅臭豆腐,东北菜,阳光路3号太阳宫剧场A29,3.8,3.8,3.8,3.8,19,118.8087663,32.06737335,13770772301,10:30-21:30,1
60001237,大东北菜馆,东北菜,花园路7号101室,3.5,3.4,3.3,3.4,60,118.8200336,32.08148521,025-85412870,10:00-22:00,1
60001238,玄武区联瑞冷饮经营部,饮品店,龙蟠路149号湖畔居1幢二单元104室,,,,0,,118.8004845,32.08294524,17751752783,10:30-21:30,1
60001239,宏宝莱冷饮批发,饮品店,许府巷1号,,,,0,,118.7785413,32.08513984,13405838599,11:00-21:00,1
60001240,蒙牛冷饮配送,饮品店,小市街南京市小市街62号,3.5,3.5,3.5,3.5,,118.7840772,32.09437771,,10:30-21:30,1
60001241,云几 文都·玄武门,创意菜,玄武门22号1-2F,4.8,4.8,4.7,4.8,173,118.7813532,32.07287461,025-83730133,10:00-22:30,1
60001242,Beans Solo豆号咖啡,咖啡厅,环湖路玄武湖公园解放门（近内环湖路樱花大道、清水栈桥、解放门）,4,4.1,4.1,4.1,21,118.7891817,32.06733302,13160058527,11:00-21:30,1
60001243,瑞幸咖啡,咖啡厅,中央路302号垠坤创意中央24号楼底商,4,4,4,4,13,118.7799027,32.08893427,4000100100,14:00-02:00,1
60001244,库迪咖啡,咖啡厅,小市街道红山南路89号1幢101-103室(南京站北广场汉堡王东侧),4.2,4.2,4.2,4.2,11,118.7913592,32.0908493,18631048536,10:30-22:00,1
60001245,瑞幸咖啡,咖啡厅,湖南路1号凤凰广场一层10号,4.2,4.2,4.2,4.2,16,118.7784265,32.07051056,4000100100,11:00-22:00,1
60001246,星巴克,咖啡厅,阳光路3号太阳宫1F-1商铺,4.1,4.2,4.1,4.1,37,118.8091131,32.06672783,025-83238753,11:00-21:00,1
60001247,Beans Solo豆号咖啡,咖啡厅,环湖路中南玄武湖菱洲生态乐园售票处旁,3.8,3.8,3.6,3.7,22,118.7924979,32.0715479,13160062183,16:00-02:00,1
60001248,恩泽咖啡 ENZER,咖啡厅,中央路302号12-101,4.2,4.2,4.2,4.2,24,118.78015,32.08961371,17749559844,10:00-22:00,1
60001249,Beans Solo豆号咖啡,咖啡厅,环湖路玄武湖翠洲门码头向东五十米,4.3,4.4,4.3,4.3,24,118.8005112,32.07578274,18502523093,10:30-21:30,1
